NOMBRE,APELLIDO,PADRON,MAIL
Alumno,Prueba 1,10001,alumno1@fi.uba.ar
Alumno,Prueba 2,10002,alumno2@fi.uba.ar
Alumno,Prueba 3,10003,alumno3@fi.uba.ar
Alumno,Prueba 4,10004,alumno4@fi.uba.ar
Alumno,Prueba 5,10005,alumno5@fi.uba.ar
Alumno,Prueba 6,10006,alumno6@fi.uba.ar
Alumno,Prueba 7,10007,alumno7@fi.uba.ar
Alumno,Prueba 8,10008,alumno8@fi.uba.ar
Alumno,Prueba 9,10009,alumno9@fi.uba.ar
Alumno,Prueba 10,10010,alumno10@fi.uba.ar
Alumno,Prueba 11,10011,alumno11@fi.uba.ar
Alumno,Prueba 12,10012,alumno12@fi.uba.ar
Alumno,Prueba 13,10013,alumno13@fi.uba.ar
Alumno,Prueba 14,10014,alumno14@fi.uba.ar
Alumno,Prueba 15,10015,alumno15@fi.uba.ar
Alumno,Prueba 16,10016,alumno16@fi.uba.ar
Alumno,Prueba 17,10017,alumno17@fi.uba.ar
